filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
dataflowAPI/rose/util/Optional.h,63,0,0.0,150,0,0.0,24,0,0.0,4,2.0,3.75862068965517,0.758620689655172,1,29,17,3,29,31,2,0,14867,0,0,14867,52.8,1.6
dyninstAPI/src/infHeap.h,31,0,0.0,36,0,0.0,0,0,,7,2.5,5.333333333333331,0.7916666666666666,2,18,25,19,24,58,7,0,9901,0,0,9901,22.0,1.0
dyninstAPI/src/mapped_object.h,34,0,0.0,157,0,0.0,4,0,0.0,7,2.0,2.375000000000001,0.6666666666666669,2,20,9,11,24,35,9,0,11696,0,0,11696,38.0,1.0
dyninstAPI/h/BPatch_type.h,8,0,0.0,14,0,0.0,3,0,0.0,20,3.1724137931034493,7.9655172413793105,0.5862068965517239,20,21,40,18,58,159,96,0,11182,0,0,11182,13.2,1.1
dyninstAPI/h/BPatch_basicBlock.h,4,0,0.0,26,0,0.0,0,0,,8,2.8275862068965525,8.086206896551724,0.7586206896551722,16,18,45,11,58,215,224,0,12655,0,0,12655,5.0,1.0
common/h/IBSTree.h,341,171,0.501,264,87,0.33,87,17,0.195,3,2.0238095238095237,15.547619047619047,0.9285714285714309,0,42,76,15,42,42,0,0,0,0,0,0,145.2,3.3
parseAPI/h/LockFreeQueue.h,50,0,0.0,33,0,0.0,20,0,0.0,5,2.0869565217391295,4.086956521739133,0.4347826086956525,1,18,12,4,23,34,3,0,2910,0,0,2910,29.9,1.3
symtabAPI/src/indexed_modules.h,22,11,0.5,16,1,0.062,4,2,0.5,0,2.1818181818181803,2.636363636363635,0.6363636363636359,2,3,7,1,11,24,2,0,19175,0,0,19175,14.3,1.3
parseAPI/src/IA_x86.C,389,44,0.113,736,40,0.054,28,6,0.214,2,2.6250000000000036,8.124999999999996,0.7499999999999998,2,8,25,2,8,10,8,0,12133,0,1,12132,172.8,5.4
parseAPI/src/ThunkData.h,1,0,0.0,2,0,0.0,0,0,,1,3.75,7.0,1.25,1,3,9,6,4,7,3,0,0,0,0,0,0.0,0.0
parseAPI/src/ParserDetails.h,107,0,0.0,105,0,0.0,4,0,0.0,6,2.5833333333333313,6.416666666666663,0.9166666666666666,4,15,61,12,24,51,37,0,11461,0,0,11461,40.0,1.6
dataflowAPI/rose/util/Attribute.h,4,0,0.0,20,0,0.0,2,0,0.0,0,2.266666666666664,4.399999999999997,0.7999999999999999,2,15,13,1,15,32,22,0,16999,0,0,16999,16.900000000000002,1.3
dataflowAPI/rose/semantics/Registers.h,34,0,0.0,48,0,0.0,3,0,0.0,5,3.3461538461538436,14.269230769230733,1.1153846153846194,10,8,107,13,26,101,32,0,16592,0,0,16592,12.8,1.6
proccontrol/h/Generator.h,4,0,0.0,0,0,,4,0,0.0,12,3.048780487804878,8.609756097560975,0.5853658536585366,15,15,89,10,41,132,81,0,10270,0,0,10270,4.0,1.0
patchAPI/h/PatchMgr.h,22,0,0.0,69,0,0.0,2,0,0.0,1,4.145454545454547,8.472727272727267,2.4545454545454573,15,20,56,7,55,185,240,0,13366,0,0,13366,25.2,1.8
stackwalk/h/basetypes.h,6,0,0.0,33,0,0.0,1,0,0.0,7,3.5,10.5,0.5,0,1,15,6,2,8,0,0,10359,0,0,10359,7.0,3.5
stackwalk/src/addrRange.h,175,0,0.0,152,0,0.0,13,0,0.0,2,2.0,13.757575757575758,1.0909090909090908,0,33,62,9,33,33,0,0,9026,0,0,9026,127.1,4.1
symtabAPI/src/Object-elf.h,78,16,0.205,276,22,0.08,16,8,0.5,5,5.869918699186996,24.983739837398403,0.9756097560975598,45,57,565,86,123,675,2378,0,12675,0,0,12675,62.4,1.2
symtabAPI/h/StringTable.h,4,2,0.5,10,2,0.2,2,2,1.0,1,2.1666666666666665,3.3333333333333335,1.1666666666666667,1,6,8,3,6,8,2,0,16386,0,0,16386,7.800000000000001,1.3
common/src/addrtranslate.h,1,0,0.0,4,0,0.0,0,0,,13,2.8787878787878824,7.666666666666686,1.060606060606061,5,18,73,18,33,69,34,0,9907,0,0,9907,3.0,1.5
symtabAPI/h/RangeLookup.h,9,7,0.778,42,6,0.143,0,0,,1,2.0,4.1,1.199999999999999,2,10,6,0,10,13,18,0,14810,0,0,14810,14.0,1.4
symtabAPI/h/Collections.h,2,0,0.0,2,0,0.0,0,0,,12,3.1041666666666674,8.1875,0.9791666666666666,14,41,70,9,48,93,307,0,18705,0,0,18705,22.8,1.2
stackwalk/src/sw_pcontrol.C,425,0,0.0,1022,0,0.0,47,0,0.0,0,3.650000000000003,17.7,1.3000000000000025,10,7,108,5,20,69,37,0,7852,0,0,7852,120.0,2.5
dyninstAPI/src/Relocation/DynObject.h,3,0,0.0,0,0,,1,0,0.0,2,2.4615384615384617,7.384615384615385,1.7692307692307692,9,12,33,1,13,34,72,0,11186,0,0,11186,4.0,1.0
dwarf/h/dwarfResult.h,14,0,0.0,21,0,0.0,2,0,0.0,7,3.1707317073170724,9.024390243902454,0.926829268292681,7,41,140,9,41,50,101,0,11200,0,0,11200,7.0,1.0
dwarf/src/dwarf_subrange.h,4,0,0.0,8,0,0.0,0,0,,2,2.0,1.0,0.5,0,4,1,4,4,5,0,0,9230,0,0,9230,3.0,1.0
dyninstAPI/src/Relocation/Transformers/Instrumenter.h,2,0,0.0,2,0,0.0,1,0,0.0,0,5.333333333333333,27.055555555555586,1.5,12,18,89,2,18,107,180,0,12740,0,0,12740,3.0,1.0
dyninstAPI/src/Relocation/Widgets/ASTWidget.h,3,0,0.0,10,0,0.0,1,0,0.0,0,2.0,3.300000000000002,1.2000000000000022,2,8,7,4,10,21,8,0,10142,0,0,10142,3.0,1.0
dyninstAPI/src/Relocation/Transformers/Modification.h,4,0,0.0,6,0,0.0,3,0,0.0,0,3.8461538461538485,14.461538461538455,1.6923076923076907,9,9,56,6,13,60,24,0,12952,0,0,12952,4.0,1.0
dyninstAPI/src/Relocation/Widgets/CFWidget.h,19,0,0.0,36,0,0.0,3,0,0.0,1,3.825,15.575000000000006,1.524999999999997,22,15,178,21,40,153,126,0,11511,0,0,11511,14.0,1.0
dyninstAPI/src/Relocation/Widgets/InstWidget.h,3,0,0.0,0,0,,1,0,0.0,0,2.066666666666665,4.0,0.8666666666666666,3,13,16,3,15,28,14,0,10142,0,0,10142,4.0,1.0
dyninstAPI_RT/src/RTheap.c,69,0,0.0,43,0,0.0,3,0,0.0,4,4.88888888888889,21.5555555555556,2.11111111111111,5,6,70,13,9,43,30,53,20,0,0,20,28.0,7.0
dyninstAPI/src/StackMod/StackAccess.C,384,0,0.0,688,0,0.0,24,0,0.0,5,4.499999999999998,15.80952380952381,1.2857142857142836,26,30,263,22,42,117,294,0,13359,0,0,13359,162.5,6.5
dyninstAPI/src/StackMod/StackLocation.h,71,0,0.0,123,0,0.0,1,0,0.0,1,3.4285714285714284,6.285714285714286,1.1428571428571428,3,7,25,4,7,16,3,0,11340,0,0,11340,40.0,1.6
dyninstAPI/src/trapMappings.h,2,0,0.0,2,0,0.0,0,0,,5,4.06666666666667,22.8,1.13333333333333,10,2,155,20,15,107,20,0,11027,0,0,11027,1.0,1.0
dataflowAPI/src/stackanalysis.C,2223,0,0.0,4781,0,0.0,121,0,0.0,1,2.9090909090909083,6.818181818181821,0.9090909090909091,6,11,26,4,11,18,46,0,9955,1,0,9955,750.2,6.2
instructionAPI/src/InstructionDecoder-aarch64.C,1879,0,0.0,3126,0,0.0,154,0,0.0,2,0,0,0,0,0,0,12,0,0,0,0,12376,0,0,12376,950.4,7.2
instructionAPI/h/Instruction.h,25,3,0.12,55,4,0.073,3,0,0.0,60,3.6538461538461524,7.480769230769234,0.7307692307692311,8,3,48,15,52,184,16,0,13496,0,0,13496,19.2,1.2
dataflowAPI/src/SymEvalPolicy.h,262,0,0.0,5764,0,0.0,502,0,0.0,2,2.766081871345031,6.707602339181286,1.5087719298245634,7,43,59,15,171,456,126,0,15454,0,0,15454,174.0,1.2
parseAPI/h/CodeObject.h,6,0,0.0,54,0,0.0,0,0,,35,2.789473684210523,8.921052631578947,1.631578947368423,10,5,109,14,38,142,30,0,17072,0,0,17072,7.0,1.0
parseAPI/h/CFGFactory.h,7,0,0.0,2,0,0.0,0,0,,7,2.347826086956523,4.478260869565221,1.7391304347826095,2,8,12,4,23,45,4,0,16628,0,0,16628,6.0,1.0
dataflowAPI/rose/util/Message.C,1197,3,0.003,1895,1,0.001,152,1,0.0069999999999999,12,4.562499999999999,11.187500000000012,0.6250000000000002,7,9,27,13,16,63,24,0,21687,0,28,21659,459.0,3.0
instructionAPI/h/InstructionDecoder.h,7,5,0.7140000000000001,70,18,0.257,0,0,,12,2.1333333333333333,3.599999999999999,1.1333333333333333,2,11,20,5,15,27,8,0,13496,0,0,13496,3.0,1.0
